央视,#genre#
CCTV1,http://61.136.96.78:880/1.m3u8
CCTV2,http://61.136.96.78:880/2.m3u8
CCTV3,http://61.136.96.78:880/3.m3u8
CCTV4,http://61.136.96.78:880/4.m3u8
CCTV5,http://61.136.96.78:880/5.m3u8
CCTV5+,http://61.136.96.78:880/16.m3u8
CCTV6,http://61.136.96.78:880/6.m3u8
CCTV7,http://61.136.96.78:880/7.m3u8
CCTV8,http://61.136.96.78:880/8.m3u8
CCTV9,http://61.136.96.78:880/9.m3u8
CCTV10,http://61.136.96.78:880/10.m3u8
CCTV11,http://61.136.96.78:880/11.m3u8
CCTV12,http://61.136.96.78:880/12.m3u8
CCTV13,http://61.136.96.78:880/13.m3u8
CCTV14,http://61.136.96.78:880/14.m3u8
CCTV15,http://61.136.96.78:880/15.m3u8
CCTV17,http://61.136.96.78:880/17.m3u8
CETV1,http://61.136.96.78:880/52.m3u8
CCTV1,http://116.132.87.246:8888/newlive/live/hls/2/live.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV3,http://116.132.87.246:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://116.132.87.246:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://116.132.87.246:8888/newlive/live/hls/7/live.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV6,http://116.132.87.246:8888/newlive/live/hls/8/live.m3u8
CCTV6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
